a5spe...	a5iii	stars/a5iii.dat	
a5v	stars/a5v.dat		
a5:v+...	a5iii	stars/a5iii.dat	
a5v:	a5v	stars/a5v.dat	
a5v...	a5v	stars/a5v.dat	
a5v+...	a5v	stars/a5v.dat	
a5v comp	a5v	stars/a5v.dat	
a5ve comp sb	a5v	stars/a5v.dat	
a5vm...	a5v	stars/a5v.dat	
a5vms...	a5v	stars/a5v.dat	
a5vn	a5v	stars/a5v.dat	
a5vs	a5v	stars/a5v.dat	
a5v sb	a5v	stars/a5v.dat	
a5vv sb	a5v	stars/a5v.dat	
a5:w	a5iii	stars/a5iii.dat	
a6	a0i	stars/a0i.dat	
a6:+...	a0iii	stars/a0iii.dat	
a6.7	a0iv	stars/a0iv.dat	
a6 + a6	a0iii	stars/a0iii.dat	
a6/a7	a0iii	stars/a0iii.dat	
a6/a7:+(g)	a0iii	stars/a0iii.dat	
a6/a7iii	a0iii	stars/a0iii.dat	
a6/a7ii/iii	a0iii	stars/a0iii.dat	
a6/a7iii/iv	a0iii	stars/a0iii.dat	
a6/a7iv	a0iii	stars/a0iii.dat	
a6/a7iv/v	a0iii	stars/a0iii.dat	
a6/a7v	a0iii	stars/a0iii.dat	
a6/a7v:	a0iii	stars/a0iii.dat	
a6+g/kiii	a0iii	stars/a0iii.dat	
a6ia	a0iv	stars/a0iv.dat	
a6iab	a0iii	stars/a0iii.dat	
a6ib	a0iv	stars/a0iv.dat	
a6ib/ii	a0iii	stars/a0iii.dat	
a6ii	a0iv	stars/a0iv.dat	
a6iii	a0iii	stars/a0iii.dat	
a6:iii:+...	a0iii	stars/a0iii.dat	
a6iiie	a0iii	stars/a0iii.dat	
a6ii/iii	a0iii	stars/a0iii.dat	
a6iii/iv	a0iii	stars/a0iii.dat	
a6:iiim...	a0iii	stars/a0iii.dat	
a6:iiw...	a0iii	stars/a0iii.dat	
a6iv	a0iv	stars/a0iv.dat	
a6iv:	a0iii	stars/a0iii.dat	
a6iv/v	a0iii	stars/a0iii.dat	
a6m	a0i	stars/a0i.dat	
a6:m...	a0iii	stars/a0iii.dat	
a6m...	a0iii	stars/a0iii.dat	
a6p	a0i	stars/a0i.dat	
a6pe...	a0iii	stars/a0iii.dat	
a6v	a0i	stars/a0i.dat	
a6:v+...	a0iii	stars/a0iii.dat	
a6v:	a0iv	stars/a0iv.dat	
a6:var	a0iii	stars/a0iii.dat	
a6vn	a0iv	stars/a0iv.dat	
a7	a7v	stars/a7v.dat	
a7:	a7v	stars/a7v.dat	
a7:+...	a7iii	stars/a7iii.dat	
a7...	a7iii	stars/a7iii.dat	
a7/8v + g	a7iii	stars/a7iii.dat	
a7/9v+a3/5	a7iii	stars/a7iii.dat	
a7/a8+...	a7iii	stars/a7iii.dat	
a7/a8ii	a7iii	stars/a7iii.dat	
a7/a8iii	a7iii	stars/a7iii.dat	
a7/a8ii/iii	a7iii	stars/a7iii.dat	
a7/a8iii/iv	a7iii	stars/a7iii.dat	
a7/a8iv	a7iii	stars/a7iii.dat	
a7/a8ivm...	a7iii	stars/a7iii.dat	
a7/a8v	a7iii	stars/a7iii.dat	
a7/a8v+...	a7iii	stars/a7iii.dat	
a7/a8w...	a7iii	stars/a7iii.dat	
a7 + f	a7iii	stars/a7iii.dat	
a7/f0v + f/g	a7iii	stars/a7iii.dat	
a7ia	a7iii	stars/a7iii.dat	
a7iab	a7iii	stars/a7iii.dat	
a7ib	a7iii	stars/a7iii.dat	
a7ii	a7iii	stars/a7iii.dat	
a7iii	stars/a7iii.dat		
a7iii+...	a7iii	stars/a7iii.dat	
a7ii/iii	a7iii	stars/a7iii.dat	
a7iii-iv	a7iii	stars/a7iii.dat	
a7iii/iv	a7iii	stars/a7iii.dat	
a7iii-ivs	a7iii	stars/a7iii.dat	
a7iii(m)	a7iii	stars/a7iii.dat	
a7iii:mp...	a7iii	stars/a7iii.dat	
a7iiip d del	a7iii	stars/a7iii.dat	
a7iiivar	a7iii	stars/a7iii.dat	
a7iii:w	a7iii	stars/a7iii.dat	
a7iv	a7iii	stars/a7iii.dat	
a7iv+...	a7iii	stars/a7iii.dat	
a7ive	a7iii	stars/a7iii.dat	
a7ivn	a7iii	stars/a7iii.dat	
a7iv-v	a7iii	stars/a7iii.dat	
a7iv-v+...	a7iii	stars/a7iii.dat	
a7iv/v	a7iii	stars/a7iii.dat	
a7ivvar+...	a7iii	stars/a7iii.dat	
a7m	a7v	stars/a7v.dat	
a7m...	a7iii	stars/a7iii.dat	
a7(m)a8-f2	a7iii	stars/a7iii.dat	
a7p	a7v	stars/a7v.dat	
a7p:	a7iii	stars/a7iii.dat	
a7p+...	a7iii	stars/a7iii.dat	
a7s	a7v	stars/a7v.dat	
a7v	stars/a7v.dat		
a7 v	stars/a7v.dat		
a7:v+...	a7iii	stars/a7iii.dat	
a7v:	a7v	stars/a7v.dat	
a7v...	a7v	stars/a7v.dat	
a7v+...	a7v	stars/a7v.dat	
a7vm	a7v	stars/a7v.dat	
a7vm...	a7v	stars/a7v.dat	
a7vn	a7v	stars/a7v.dat	
a7vni	a7v	stars/a7v.dat	
a7v sb	a7v	stars/a7v.dat	
a7vvar	a7v	stars/a7v.dat	
a8	a0i	stars/a0i.dat	
a8:+...	a0iii	stars/a0iii.dat	
a8...	a0iii	stars/a0iii.dat	
a8.2	a0iv	stars/a0iv.dat	
a8.5	a0iv	stars/a0iv.dat	
a8.7	a0iv	stars/a0iv.dat	
a8.7:	a0iii	stars/a0iii.dat	
a8/a9	a0iii	stars/a0iii.dat	
a8/a9+...	a0iii	stars/a0iii.dat	
a8/a9ii	a0iii	stars/a0iii.dat	
a8/a9iii	a0iii	stars/a0iii.dat	
a8/a9iii:	a0iii	stars/a0iii.dat	
